dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,round,global_eval_auc_mean,global_eval_auc_std,global_eval_auc_ci95_low,global_eval_auc_ci95_high,global_eval_auc_n,global_eval_f1_mean,global_eval_f1_std,global_eval_f1_ci95_low,global_eval_f1_ci95_high,global_eval_f1_n,global_eval_ece_mean,global_eval_ece_std,global_eval_ece_ci95_low,global_eval_ece_ci95_high,global_eval_ece_n,cumulative_communication_bytes_mean,cumulative_communication_bytes_std,cumulative_communication_bytes_ci95_low,cumulative_communication_bytes_ci95_high,cumulative_communication_bytes_n,round_communication_bytes_mean,round_communication_bytes_std,round_communication_bytes_ci95_low,round_communication_bytes_ci95_high,round_communication_bytes_n,params_bytes_mean,params_bytes_std,params_bytes_ci95_low,params_bytes_ci95_high,params_bytes_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,6,0.8213405809511622,0.0023813406783760255,0.8192532438144641,0.8234279180878604,5,0.2190835538909925,0.020356305781561806,0.20124046515964156,0.23692664262234342,5,0.018697716756228677,0.006450552831370258,0.013043557903856803,0.02435187560860055,5,6336.0,0.0,6336.0,6336.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,7,0.8217262166251903,0.002233581791544977,0.8197683958632638,0.8236840373871168,5,0.22274918407710814,0.01881926334782214,0.20625337244128553,0.23924499571293076,5,0.01751679608570868,0.006083197073397983,0.012184638752463579,0.022848953418953783,5,7392.0,0.0,7392.0,7392.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,8,0.821991704712911,0.00215690383555653,0.8201010951427952,0.8238823142830269,5,0.22445400077104835,0.015258099178432133,0.21107968715864844,0.23782831438344826,5,0.01676949676760316,0.005428788819542629,0.012010953559895803,0.02152803997531052,5,8448.0,0.0,8448.0,8448.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,9,0.8221785798650153,0.0021177723831061605,0.8203222705252924,0.8240348892047382,5,0.22651628491742132,0.013084001888977358,0.21504765160195763,0.237984918232885,5,0.015965656335501902,0.004789421817136404,0.011767543015135176,0.02016376965586863,5,9504.0,0.0,9504.0,9504.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,10,0.822319038319896,0.002088105474007388,0.8204887331725406,0.8241493434672513,5,0.2300399673952433,0.012555318675040015,0.21903474534891096,0.24104518944157563,5,0.01531985553834474,0.004385176634240789,0.011476078743722334,0.019163632332967147,5,10560.0,0.0,10560.0,10560.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,11,0.822430493466087,0.002076249247672407,0.8206105807593239,0.8242504061728501,5,0.23125068625682924,0.011881161395898216,0.22083638911994236,0.24166498339371612,5,0.01475641715952702,0.003867475978734791,0.011366424997125998,0.018146409321928042,5,11616.0,0.0,11616.0,11616.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,12,0.8225144037623469,0.00206672244315548,0.820702841667927,0.8243259658567668,5,0.23330814460685684,0.010616571295166686,0.2240023095661023,0.2426139796476114,5,0.014190465112469242,0.0033242945235689757,0.011276592487952482,0.017104337736986,5,12672.0,0.0,12672.0,12672.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,13,0.822575157543269,0.002050684823406166,0.8207776530423682,0.8243726620441699,5,0.23311790654909742,0.009873977194321759,0.22446298393690126,0.24177282916129358,5,0.013894702391121377,0.0031057228392613696,0.011172416295079445,0.01661698848716331,5,13728.0,0.0,13728.0,13728.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,14,0.8226198300508093,0.0020647995877053596,0.8208099534135044,0.8244297066881142,5,0.23337428428167173,0.008977754869670842,0.22550493517349754,0.24124363338984592,5,0.013657644938532398,0.002893218747403362,0.011121626891687879,0.016193662985376917,5,14784.0,0.0,14784.0,14784.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,15,0.8226696800545458,0.0020541804186169636,0.8208691115293478,0.8244702485797437,5,0.23458016902500614,0.00852003830955835,0.2271120261712248,0.24204831187878748,5,0.013475368268108861,0.002782385239793965,0.011036500074086488,0.015914236462131234,5,15840.0,0.0,15840.0,15840.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,16,0.8227050381226768,0.0020415429418780065,0.8209155468342434,0.8244945294111102,5,0.23645731447431695,0.009493023030771897,0.22813631290927636,0.24477831603935754,5,0.01318324629006468,0.0025481090954639,0.01094973019065991,0.01541676238946945,5,16896.0,0.0,16896.0,16896.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
