dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,cell,count_mean,count_std,count_ci95_low,count_ci95_high,count_n
cdc,audit,5,iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,TN,36220.666666666664,962.117109988869,35131.92866467639,37309.40466865694,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,TP,4323.666666666667,300.1038709069467,3984.0671673868374,4663.266165946497,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,FN,2978.6666666666665,239.0759990742135,2708.1267055190056,3249.2066278143275,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,FP,6714.666666666667,668.0421643379506,5958.705792782017,7470.627540551317,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,TN,36952.333333333336,668.0421643379506,36196.372459448685,37708.29420721799,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,TP,4090.3333333333335,239.0759990742135,3819.7933721856725,4360.873294480994,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,FN,2747.0,294.7761862837634,2413.4293434168208,3080.5706565831792,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,FP,7448.666666666667,958.453615639971,6364.074298795473,8533.259034537861,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,TN,36218.333333333336,958.453615639971,35133.740965462144,37302.92570120453,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,TP,4322.0,294.7761862837634,3988.4293434168208,4655.57065658318,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,FN,2733.3333333333335,310.1456647018193,2382.3704746462954,3084.2961920203716,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,FP,7496.666666666667,1005.4075458903883,6358.940924827078,8634.392408506257,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,TN,36170.333333333336,1005.4075458903883,35032.60759149375,37308.059075172925,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,TP,4335.666666666667,310.1456647018193,3984.703807979629,4686.629525353705,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,FN,2658.3333333333335,256.26613770323485,2368.3408991025226,2948.3257675641444,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,FP,7761.333333333333,808.1821164399354,6846.78917487089,8675.877491795776,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,TN,35905.666666666664,808.1821164399355,34991.12250820422,36820.21082512911,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,TP,4410.666666666667,256.26613770323485,4120.6742324358565,4700.659100897477,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,FN,2762.3333333333335,301.71233540134443,2420.913685132212,3103.752981534455,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,FP,7438.0,986.5353516220288,6321.630156384841,8554.369843615159,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,TN,36229.0,986.5353516220288,35112.63015638484,37345.36984361516,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,TP,4306.666666666667,301.7123354013444,3965.2470184655454,4648.086314867789,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,FN,2807.0,254.63503293930316,2518.8533345672727,3095.1466654327273,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,FP,7269.333333333333,834.5515761972613,6324.949322079907,8213.71734458676,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,TN,36397.666666666664,834.5515761972613,35453.28265541324,37342.05067792009,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,TP,4262.0,254.63503293930316,3973.8533345672727,4550.146665432727,3
