run_id,dataset,seed,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,experiment_track,client_id,rank,feature,mean_abs_shap,method
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,21,Smoker,0.0044468458229853,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,0,1,GenHlth,0.47379729047426,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,0,2,HighBP,0.3603859299626515,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,0,3,Age,0.3127229379386819,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,0,4,HighChol,0.301532028065,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,0,5,BMI,0.2717486745881842,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,0,6,Sex,0.1437081415806669,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,0,7,HvyAlcoholConsump,0.1084339631965113,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,0,8,Income,0.0872635646142962,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,0,9,CholCheck,0.0610053515301425,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,0,10,DiffWalk,0.0424746543245223,shap
