dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,round,global_eval_auc_mean,global_eval_auc_std,global_eval_auc_ci95_low,global_eval_auc_ci95_high,global_eval_auc_n,global_eval_f1_mean,global_eval_f1_std,global_eval_f1_ci95_low,global_eval_f1_ci95_high,global_eval_f1_n,global_eval_ece_mean,global_eval_ece_std,global_eval_ece_ci95_low,global_eval_ece_ci95_high,global_eval_ece_n,cumulative_communication_bytes_mean,cumulative_communication_bytes_std,cumulative_communication_bytes_ci95_low,cumulative_communication_bytes_ci95_high,cumulative_communication_bytes_n,round_communication_bytes_mean,round_communication_bytes_std,round_communication_bytes_ci95_low,round_communication_bytes_ci95_high,round_communication_bytes_n,params_bytes_mean,params_bytes_std,params_bytes_ci95_low,params_bytes_ci95_high,params_bytes_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,11,0.8238703905129369,0.0009110181671906815,0.8228394764081711,0.8249013046177026,3,0.2286402514256274,0.009128445178807358,0.21831044327434376,0.23897005957691106,3,0.015301304121654568,0.0020193651779081977,0.013016177304701958,0.017586430938607178,3,11616.0,0.0,11616.0,11616.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,12,0.8239519760868399,0.0008886049058266437,0.8229464249749388,0.824957527198741,3,0.23145236337479794,0.009056428555610254,0.22120404970442067,0.2417006770451752,3,0.014756826235247067,0.0017159614858898275,0.012815033016683923,0.01669861945381021,3,12672.0,0.0,12672.0,12672.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,13,0.8240016453220321,0.00088303377462347,0.8230023985385666,0.8250008921054977,3,0.230882281053406,0.005620491949813559,0.22452209567460815,0.23724246643220384,3,0.014554404778198365,0.0013007126361783252,0.013082509868551993,0.016026299687844737,3,13728.0,0.0,13728.0,13728.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,14,0.8240587277953231,0.000868256238455903,0.8230762033682468,0.8250412522223993,3,0.231926322836688,0.00708449893843049,0.22390945759310213,0.23994318808027384,3,0.014292998440569867,0.0011061948359000636,0.013041221143455038,0.015544775737684695,3,14784.0,0.0,14784.0,14784.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,15,0.8241025625475658,0.0008523059055893365,0.8231380876212789,0.8250670374738526,3,0.23348771341792438,0.006702569182192622,0.22590304237958642,0.24107238445626233,3,0.014047795589948134,0.000690200284273904,0.013266760442904356,0.014828830736991911,3,15840.0,0.0,15840.0,15840.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,16,0.8241286962366017,0.000848334962395491,0.8231687148555538,0.8250886776176496,3,0.23487071561793402,0.008739202855438654,0.2249813766205971,0.24476005461527092,3,0.013757673473810366,0.0002372057700734906,0.01348924987600805,0.01402609707161268,3,16896.0,0.0,16896.0,16896.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,17,0.8241602249056142,0.0008358039878013357,0.8232144236572144,0.8251060261540141,3,0.2359791048982746,0.007831165432501902,0.2271173069760486,0.24484090282050058,3,0.013420341695836266,0.000383257792088798,0.012986644676550547,0.013854038715121985,3,17952.0,0.0,17952.0,17952.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,18,0.8241710019072496,0.0008355782208629555,0.8232254561381909,0.8251165476763083,3,0.23485977433952984,0.0036841923063457064,0.23069071827669235,0.23902883040236733,3,0.013218297094994799,0.0008734026971912977,0.01222994890161949,0.014206645288370108,3,19008.0,0.0,19008.0,19008.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,19,0.8241977187206224,0.0008169988531833928,0.8232731974853088,0.825122239955936,3,0.23697373500265692,0.00425995024868412,0.23215314749394503,0.24179432251136881,3,0.013013082287635501,0.0010822981575961514,0.011788346627677616,0.014237817947593386,3,20064.0,0.0,20064.0,20064.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,20,0.8242084104133268,0.0008134155008249586,0.8232879441229328,0.8251288767037208,3,0.23877991280078384,0.005122625115563783,0.2329831167815044,0.24457670882006327,3,0.012866273445552833,0.0014067668926753673,0.011274366846973407,0.01445818004413226,3,21120.0,0.0,21120.0,21120.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,21,0.8240621887462491,0.0,0.8240621887462491,0.8240621887462491,1,0.2349781805975159,0.0,0.2349781805975159,0.2349781805975159,1,0.0111259517734301,0.0,0.0111259517734301,0.0111259517734301,1,22176.0,0.0,22176.0,22176.0,1,1056.0,0.0,1056.0,1056.0,1,176.0,0.0,176.0,176.0,1
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,22,0.824084749178931,0.0,0.824084749178931,0.824084749178931,1,0.2372124190306008,0.0,0.2372124190306008,0.2372124190306008,1,0.010875225949676,0.0,0.010875225949676,0.010875225949676,1,23232.0,0.0,23232.0,23232.0,1,1056.0,0.0,1056.0,1056.0,1,176.0,0.0,176.0,176.0,1
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,23,0.8241030301268952,0.0,0.8241030301268952,0.8241030301268952,1,0.2348730567050665,0.0,0.2348730567050665,0.2348730567050665,1,0.0112585256658392,0.0,0.0112585256658392,0.0112585256658392,1,24288.0,0.0,24288.0,24288.0,1,1056.0,0.0,1056.0,1056.0,1,176.0,0.0,176.0,176.0,1
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,24,0.8241178155684175,0.0,0.8241178155684175,0.8241178155684175,1,0.2392781552857302,0.0,0.2392781552857302,0.2392781552857302,1,0.0106858009862885,0.0,0.0106858009862885,0.0106858009862885,1,25344.0,0.0,25344.0,25344.0,1,1056.0,0.0,1056.0,1056.0,1,176.0,0.0,176.0,176.0,1
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,25,0.8241243530401511,0.0,0.8241243530401511,0.8241243530401511,1,0.2376811594202898,0.0,0.2376811594202898,0.2376811594202898,1,0.0107784254761269,0.0,0.0107784254761269,0.0107784254761269,1,26400.0,0.0,26400.0,26400.0,1,1056.0,0.0,1056.0,1056.0,1,176.0,0.0,176.0,176.0,1
