dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,client_id,feature,method,rank_mean,rank_std,rank_ci95_low,rank_ci95_high,rank_n,contribution_mean,contribution_std,contribution_ci95_low,contribution_ci95_high,contribution_n
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,global,HighBP,linear_shap_approximation,1.6666666666666667,0.5773502691896257,1.0133333333333334,2.3200000000000003,3,-0.06851634174674807,0.43524874122713364,-0.5610466584541336,0.4240139749606374,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,global,HighBP,linear_shap_approximation,1.6666666666666667,0.5773502691896257,1.0133333333333334,2.3200000000000003,3,-0.0675006775941326,0.4266020104119169,-0.5502462972685179,0.41524494208025275,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,global,HighBP,linear_shap_approximation,1.6666666666666667,0.5773502691896257,1.0133333333333334,2.3200000000000003,3,-0.06783906098524255,0.4269311940088808,-0.5509571869667349,0.4152790649962498,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,global,Age,linear_shap_approximation,1.6666666666666667,0.5773502691896257,1.0133333333333334,2.3200000000000003,3,-0.4419519306250474,0.18874294258715554,-0.6555346764973067,-0.22836918475278817,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,global,Age,linear_shap_approximation,1.6666666666666667,0.5773502691896257,1.0133333333333334,2.3200000000000003,3,-0.4413862058578119,0.18722785031048597,-0.6532544634198578,-0.22951794829576597,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,global,GenHlth,linear_shap_approximation,3.3333333333333335,0.5773502691896258,2.68,3.986666666666667,3,-0.07885454967845566,0.288923969188861,-0.4058027991960428,0.24809369983913143,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,global,GenHlth,linear_shap_approximation,3.3333333333333335,0.5773502691896258,2.68,3.986666666666667,3,-0.07851220271745406,0.2885199411659819,-0.40500325148701316,0.24797884605210502,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,global,GenHlth,linear_shap_approximation,3.3333333333333335,0.5773502691896258,2.68,3.986666666666667,3,-0.07480934283625698,0.2863037250345374,-0.3987925069648752,0.24917382129236124,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,global,GenHlth,linear_shap_approximation,3.3333333333333335,0.5773502691896258,2.68,3.986666666666667,3,-0.07420866085553313,0.2857928234472707,-0.3976136854130332,0.24919636370196696,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,global,HighChol,linear_shap_approximation,3.3333333333333335,0.5773502691896258,2.68,3.986666666666667,3,-0.042330854265563767,0.3330525178209458,-0.419215257469247,0.33455354893811945,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,global,HighChol,linear_shap_approximation,3.3333333333333335,0.5773502691896258,2.68,3.986666666666667,3,-0.0429045622837493,0.3336138455214584,-0.42042416757746176,0.3346150430099632,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,global,GenHlth,linear_shap_approximation,3.3333333333333335,0.5773502691896258,2.68,3.986666666666667,3,-0.08326603174956763,0.27523142783145,-0.3947197120875157,0.22818764858838042,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,global,GenHlth,linear_shap_approximation,3.3333333333333335,0.5773502691896258,2.68,3.986666666666667,3,-0.08261243822553256,0.27503703318488903,-0.39384614031249954,0.22862126386143444,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,global,HighChol,linear_shap_approximation,3.6666666666666665,0.5773502691896258,3.013333333333333,4.32,3,-0.04399809992721836,0.33177753124823917,-0.4194397200026095,0.33144352014817274,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,global,HighChol,linear_shap_approximation,3.6666666666666665,0.5773502691896258,3.013333333333333,4.32,3,-0.043898385213902574,0.3316917040506454,-0.41924288267224996,0.33144611224444487,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,global,HighChol,linear_shap_approximation,3.6666666666666665,0.5773502691896258,3.013333333333333,4.32,3,-0.037983321725813805,0.3345801690981573,-0.4165964250867038,0.3406297816350762,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,global,HighChol,linear_shap_approximation,3.6666666666666665,0.5773502691896258,3.013333333333333,4.32,3,-0.03775415740126837,0.3343714916506626,-0.41613112000040803,0.3406228051978713,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,global,GenHlth,linear_shap_approximation,3.6666666666666665,0.5773502691896258,3.013333333333333,4.32,3,-0.07136489151758726,0.28457906965310253,-0.39339642435869326,0.2506666413235187,3
