dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,bin,lower,upper,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,avg_predicted_risk_mean,avg_predicted_risk_std,avg_predicted_risk_ci95_low,avg_predicted_risk_ci95_high,avg_predicted_risk_n,observed_event_rate_mean,observed_event_rate_std,observed_event_rate_ci95_low,observed_event_rate_ci95_high,observed_event_rate_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,10,0.9,1.0,0.2,0.447213595499958,-0.192,0.5920000000000001,5,0.999999,0.0,0.999999,0.999999,1,0.0,0.0,0.0,0.0,1
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,1,0.0,0.1,26869.0,824.3703657944043,26146.40751479136,27591.59248520864,5,0.031321399277124504,0.0021086720249116546,0.029473066753062306,0.0331697318011867,5,0.03204882487556778,0.002606458077512094,0.029764163638374162,0.0343334861127614,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,2,0.1,0.2,10252.6,1168.0983691453387,9228.716635736277,11276.483364263724,5,0.14623947674161647,0.0063396777109806105,0.14068250421727685,0.1517964492659561,5,0.14418953809715598,0.004805619934535471,0.1399772265008774,0.14840184969343456,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,3,0.2,0.3,5494.4,504.9681178054709,5051.775929149803,5937.024070850196,5,0.24760873077825765,0.01048396318636187,0.23841913186979996,0.25679832968671534,5,0.2517045484708281,0.011515973545270395,0.24161035259849709,0.26179874434315914,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,4,0.3,0.4,3990.4,481.1229572572899,3568.677133918494,4412.122866081506,5,0.342569164738419,0.014543890368768695,0.32982088274984545,0.3553174467269925,5,0.34383499218244284,0.010663215039630943,0.3344882720970162,0.3531817122678695,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,5,0.4,0.5,2714.2,522.1625225923439,2256.5043688388537,3171.895631161146,5,0.4495714603239582,0.01217955737471192,0.43889560757947804,0.4602473130684384,5,0.4430534025841818,0.01685951963330456,0.42827538205270177,0.45783142311566183,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,6,0.5,0.6000000000000001,1006.8,416.4375103181749,641.776428070734,1371.8235719292659,5,0.5490036611599948,0.019709107137560678,0.5317278670525133,0.5662794552674763,5,0.5335311671305287,0.026123555477891105,0.5106328611524086,0.5564294731086489,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,7,0.6000000000000001,0.7000000000000001,407.4,225.88448375220463,209.40352019290847,605.3964798070915,5,0.633713414283805,0.019258114910616807,0.6168329322928175,0.6505938962747925,5,0.5967203194174767,0.019457444213158204,0.5796651175892963,0.6137755212456572,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,8,0.7000000000000001,0.8,1.0,2.23606797749979,-0.9599999999999997,2.96,5,0.75,0.0,0.75,0.75,1,0.6,0.0,0.6,0.6,1
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,9,0.8,0.9,0.0,0.0,0.0,0.0,5,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,10,0.9,1.0,0.2,0.447213595499958,-0.192,0.5920000000000001,5,0.999999,0.0,0.999999,0.999999,1,0.0,0.0,0.0,0.0,1
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,1,0.0,0.1,31892.6,120.25306648896733,31787.19353978052,31998.006460219476,5,0.06356194428468402,0.0008950433360638599,0.0627774042097232,0.06434648435964484,5,0.04519532781993024,0.0008458394516198716,0.044453916851275956,0.04593673878858453,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,2,0.1,0.2,9593.6,141.29154256359436,9469.752502423344,9717.447497576657,5,0.1391145820679279,0.00026232206934986537,0.13888464663613453,0.13934451749972127,5,0.20351842343996043,0.0036038263359242204,0.20035953037879806,0.2066773165011228,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,3,0.2,0.3,3602.0,55.2222781130949,3553.5955390485547,3650.4044609514453,5,0.24446453676887497,0.0005876998999220892,0.2439493950936495,0.24497967844410046,5,0.3132678934680697,0.007855712454956247,0.3063820579001679,0.3201537290359715,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,4,0.3,0.4,1941.4,43.36819110823046,1903.3861044353516,1979.4138955646486,5,0.34589770496572836,0.0008128178575934046,0.3451852387004298,0.34661017123102694,5,0.38114432235325596,0.012225711460199778,0.37042801376912043,0.3918606309373915,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,5,0.4,0.5,1258.2,36.5882494798535,1226.128985298248,1290.2710147017522,5,0.44617919516188725,0.0008901720387777408,0.44539892496725964,0.4469594653565149,5,0.4190462836400008,0.007762074006348836,0.4122425257911654,0.4258500414888362,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,6,0.5,0.6000000000000001,911.2,24.035390573069535,890.1320512626407,932.2679487373593,5,0.5489513696029199,0.0008685285958406321,0.5481900707224847,0.5497126684833551,5,0.4874061963925077,0.029700297936923956,0.46137273741803586,0.5134396553669796,5
