dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,client_id,feature,method,rank_mean,rank_std,rank_ci95_low,rank_ci95_high,rank_n,mean_abs_shap_mean,mean_abs_shap_std,mean_abs_shap_ci95_low,mean_abs_shap_ci95_high,mean_abs_shap_n
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,Stroke,shap,17.6,1.5165750888103102,16.27066332330745,18.929336676692554,5,0.01247797420742648,0.004133057632158946,0.008855189461817244,0.016100758953035716,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,Stroke,shap,17.6,1.5165750888103102,16.27066332330745,18.929336676692554,5,0.01247797420742648,0.004133057632158946,0.008855189461817244,0.016100758953035716,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,AnyHealthcare,shap,18.8,1.0954451150103324,17.839800020828996,19.760199979171006,5,0.00789094571592474,0.0035182686791132038,0.004807047247519377,0.010974844184330102,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,AnyHealthcare,shap,18.8,1.0954451150103324,17.839800020828996,19.760199979171006,5,0.00789094571592474,0.0035182686791132038,0.004807047247519377,0.010974844184330102,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,NoDocbcCost,shap,19.8,1.3038404810405297,18.657133428610322,20.94286657138968,5,0.005598009984098039,0.003664126721229138,0.002386261304776064,0.008809758663420014,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,NoDocbcCost,shap,19.8,1.3038404810405297,18.657133428610322,20.94286657138968,5,0.005598009984098039,0.003664126721229138,0.002386261304776064,0.008809758663420014,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,Smoker,shap,20.2,0.8366600265340756,19.466635152192307,20.93336484780769,5,0.005479411187252261,0.0036711725051870613,0.002261486605991485,0.008697335768513037,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,Smoker,shap,20.2,0.8366600265340756,19.466635152192307,20.93336484780769,5,0.005479411187252261,0.0036711725051870613,0.002261486605991485,0.008697335768513037,5
cdc,audit,shared,shared,shared,centralized,not_applicable,random_forest,none,calib_f1_optimal,global,HighBP,linear_logit_attribution_fallback,1.0,0.0,1.0,1.0,5,0.2257301392006136,0.006313899127168199,0.22019576260125512,0.2312645157999721,5
cdc,audit,shared,shared,shared,centralized,not_applicable,random_forest,none,fixed_0p5,global,HighBP,linear_logit_attribution_fallback,1.0,0.0,1.0,1.0,5,0.2257301392006136,0.006313899127168199,0.22019576260125512,0.2312645157999721,5
cdc,audit,shared,shared,shared,centralized,not_applicable,random_forest,none,calib_f1_optimal,global,GenHlth,linear_logit_attribution_fallback,2.0,0.0,2.0,2.0,5,0.20450756793345662,0.010911538908187864,0.1949431823802226,0.21407195348669064,5
cdc,audit,shared,shared,shared,centralized,not_applicable,random_forest,none,fixed_0p5,global,GenHlth,linear_logit_attribution_fallback,2.0,0.0,2.0,2.0,5,0.20450756793345662,0.010911538908187864,0.1949431823802226,0.21407195348669064,5
cdc,audit,shared,shared,shared,centralized,not_applicable,random_forest,none,calib_f1_optimal,global,HighChol,linear_logit_attribution_fallback,3.0,0.0,3.0,3.0,5,0.10021183099947298,0.002618979879162321,0.09791619391920062,0.10250746807974534,5
cdc,audit,shared,shared,shared,centralized,not_applicable,random_forest,none,fixed_0p5,global,HighChol,linear_logit_attribution_fallback,3.0,0.0,3.0,3.0,5,0.10021183099947298,0.002618979879162321,0.09791619391920062,0.10250746807974534,5
cdc,audit,shared,shared,shared,centralized,not_applicable,random_forest,none,calib_f1_optimal,global,BMI,linear_logit_attribution_fallback,4.0,0.0,4.0,4.0,5,0.09052659818957891,0.004515039592816573,0.08656899149292771,0.0944842048862301,5
cdc,audit,shared,shared,shared,centralized,not_applicable,random_forest,none,fixed_0p5,global,BMI,linear_logit_attribution_fallback,4.0,0.0,4.0,4.0,5,0.09052659818957891,0.004515039592816573,0.08656899149292771,0.0944842048862301,5
cdc,audit,shared,shared,shared,centralized,not_applicable,random_forest,none,calib_f1_optimal,global,Age,linear_logit_attribution_fallback,5.0,0.0,5.0,5.0,5,0.0775526336628282,0.0027907813492588696,0.07510640595437389,0.07999886137128252,5
