dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,cell,count_mean,count_std,count_ci95_low,count_ci95_high,count_n
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,FP,646.2,578.2198543806672,139.36795106860103,1153.032048931399,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,TN,43020.8,578.2198543806671,42513.96795106861,43527.6320489314,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,TP,703.6,624.275019522646,156.3988189194033,1250.8011810805967,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,FN,2788.0,331.6195108855931,2497.3226825498764,3078.677317450124,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,FP,7358.0,1051.3315366714726,6436.467277108403,8279.532722891596,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,TN,36309.0,1051.3315366714726,35387.4672771084,37230.5327228916,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,TP,4281.0,331.6195108855931,3990.322682549877,4571.677317450124,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,FN,6242.8,188.5436289032329,6077.534222586768,6408.065777413232,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,FP,689.8,194.5075833997225,519.3065859805722,860.2934140194277,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,TN,42977.2,194.50758339972248,42806.706585980566,43147.69341401943,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,TP,826.2,188.5436289032329,660.9342225867679,991.4657774132322,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,FN,2790.6,309.67854300871414,2519.154788850494,3062.045211149506,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,FP,7382.2,1015.8076589591162,6491.805328820978,8272.594671179022,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,TN,36284.8,1015.807658959116,35394.40532882098,37175.19467117902,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,TP,4278.4,309.6785430087141,4006.9547888504935,4549.845211149506,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,global_sigmoid,fixed_0p5,FN,5873.6,134.71377063982732,5755.51817372686,5991.68182627314,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,global_sigmoid,fixed_0p5,FP,1092.4,156.60715181625648,955.1277790082788,1229.6722209917216,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,global_sigmoid,fixed_0p5,TN,42574.6,156.60715181625648,42437.32777900828,42711.87222099172,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,global_sigmoid,fixed_0p5,TP,1195.4,134.71377063982732,1077.31817372686,1313.48182627314,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,FN,2778.6,334.0670591363357,2485.7773119172625,3071.4226880827373,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,FP,7406.2,1078.4142061378827,6460.928270652295,8351.471729347704,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,TN,36260.8,1078.414206137883,35315.5282706523,37206.07172934771,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,TP,4290.4,334.0670591363357,3997.577311917263,4583.222688082737,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,none,fixed_0p5,FN,6338.2,593.6355784485967,5817.855473148799,6858.5445268512,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,none,fixed_0p5,FP,664.0,553.7919284352201,178.57997223023443,1149.4200277697655,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,none,fixed_0p5,TN,43003.0,553.7919284352201,42517.57997223023,43488.42002776977,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,none,fixed_0p5,TP,730.8,593.6355784485967,210.45547314879923,1251.144526851201,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,FN,2875.0,370.5813001218491,2550.17116852102,3199.8288314789806,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,FP,7137.0,1112.5495494583602,6161.807322997142,8112.192677002858,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,TN,36530.0,1112.5495494583602,35554.80732299714,37505.19267700286,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,TP,4194.0,370.5813001218491,3869.1711685210194,4518.828831478981,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,fixed_0p5,FN,6692.2,373.1537216751295,6365.11634161273,7019.2836583872695,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,fixed_0p5,FP,311.4,326.0587370398162,25.596915733927005,597.2030842660729,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,fixed_0p5,TN,43355.6,326.0587370398161,43069.796915733925,43641.40308426607,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,fixed_0p5,TP,376.8,373.1537216751295,49.71634161273056,703.8836583872694,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,FN,2805.8,297.1526543714527,2545.3342143313253,3066.265785668675,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,FP,7327.6,966.4754523525156,6480.446914462327,8174.7530855376735,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,TN,36339.4,966.4754523525158,35492.24691446233,37186.55308553767,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,TP,4263.2,297.1526543714527,4002.734214331325,4523.665785668674,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,federated_sigmoid,fixed_0p5,FN,6363.8,625.3488626358891,5815.657553929638,6911.942446070362,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,federated_sigmoid,fixed_0p5,FP,647.2,578.9690838032718,139.71122252408384,1154.688777475916,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,federated_sigmoid,fixed_0p5,TN,43019.8,578.9690838032718,42512.31122252408,43527.28877747592,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,federated_sigmoid,fixed_0p5,TP,705.2,625.348862635889,157.05755392963783,1253.3424460703625,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,FN,2866.4,343.2685537592979,2565.511846268418,3167.288153731582,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,FP,7130.2,1078.7217898976546,6184.65866159961,8075.741338400389,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,TN,36536.8,1078.7217898976548,35591.25866159961,37482.3413384004,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,TP,4202.6,343.2685537592979,3901.7118462684175,4503.488153731582,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,global_isotonic,fixed_0p5,FN,6241.6,188.37409588369627,6076.482824830365,6406.717175169636,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,global_isotonic,fixed_0p5,FP,692.2,194.33785014762307,521.855363735749,862.544636264251,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,global_isotonic,fixed_0p5,TN,42974.8,194.33785014762307,42804.45536373575,43145.14463626425,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,global_isotonic,fixed_0p5,TP,827.4,188.3740958836963,662.2828248303648,992.5171751696352,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,FN,2798.4,302.7462633956033,2533.031199844443,3063.768800155557,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,FP,7343.6,982.0228103257072,6482.819054337284,8204.380945662717,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,TN,36323.4,982.0228103257072,35462.61905433729,37184.18094566272,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,TP,4270.6,302.74626339560325,4005.2311998444434,4535.968800155558,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,global_sigmoid,fixed_0p5,FN,5872.6,138.08077346249186,5751.566865627631,5993.63313437237,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,global_sigmoid,fixed_0p5,FP,1091.2,158.47460364361226,952.2908853098544,1230.1091146901456,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,global_sigmoid,fixed_0p5,TN,42575.8,158.47460364361226,42436.890885309855,42714.70911469015,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,global_sigmoid,fixed_0p5,TP,1196.4,138.08077346249186,1075.366865627631,1317.4331343723693,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,FN,2800.2,304.2625510969104,2533.5021150740035,3066.897884925996,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,FP,7337.8,992.2354559276744,6468.067275777208,8207.532724222792,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,TN,36329.2,992.2354559276744,35459.467275777206,37198.93272422279,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,TP,4268.8,304.2625510969104,4002.102115074004,4535.497884925997,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,none,fixed_0p5,FN,6336.2,594.2231903922969,5815.3404085706015,6857.059591429398,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,none,fixed_0p5,FP,665.8,553.0734128486018,181.0097789105065,1150.5902210894933,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,none,fixed_0p5,TN,43001.2,553.0734128486018,42516.40977891051,43485.99022108949,5
cdc,showcase,3,non_iid,0.5,federated,fedprox,logistic,none,fixed_0p5,TP,732.8,594.2231903922969,211.94040857060145,1253.6595914293985,5
cdc,showcase,5,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,FN,2903.4,330.335889663839,2613.847826159084,3192.952173840916,5
cdc,showcase,5,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,FP,6984.6,1051.855170639,6062.60829169889,7906.591708301111,5
cdc,showcase,5,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,TN,36682.4,1051.855170639,35760.40829169889,37604.39170830111,5
cdc,showcase,5,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,TP,4165.6,330.335889663839,3876.047826159084,4455.1521738409165,5
cdc,showcase,5,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,FN,6330.2,166.2398869104524,6184.4843144201695,6475.91568557983,5
cdc,showcase,5,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,FP,605.2,150.4067817619937,473.362642987657,737.0373570123431,5
cdc,showcase,5,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,TN,43061.8,150.4067817619937,42929.96264298766,43193.63735701235,5
cdc,showcase,5,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,TP,738.8,166.23988691045238,593.0843144201696,884.5156855798303,5
cdc,showcase,5,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,FN,2778.8,287.67985678528134,2526.637487512517,3030.9625124874838,5
cdc,showcase,5,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,FP,7349.6,972.0713965548003,6497.541853101562,8201.658146898439,5
cdc,showcase,5,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,TN,36317.4,972.0713965548003,35465.34185310156,37169.45814689844,5
